"animal","gene","sex","zygosity","week","weight"
"1",116489494,"143",1,0,4,17
"2",116489494,"143",1,0,5,20.2
"3",116489494,"143",1,0,6,22.1
"4",116489494,"143",1,0,7,25.2
"5",116489494,"143",1,0,7.428571428,25.4
"6",116489494,"143",1,0,9,26.4
"7",116489494,"143",1,0,9.714285714,26.3
"8",116489494,"143",1,0,10.428571428,26.5
"9",116489494,"143",1,0,11.857142857,27
"10",116489494,"143",1,0,12.571428571,27.4
"11",116489494,"143",1,0,13.428571428,28.2
"12",116489494,"143",1,0,14.857142857,28.2
"13",116489494,"143",1,0,15.714285714,28.788
"14",116489495,"143",1,0,4,14.1
"15",116489495,"143",1,0,5,18.2
"16",116489495,"143",1,0,6,20.5
"17",116489495,"143",1,0,7,22.9
"18",116489495,"143",1,0,7.428571428,23.1
"19",116489495,"143",1,0,9,24.7
"20",116489495,"143",1,0,9.714285714,25.8
"21",116489495,"143",1,0,10.428571428,26.6
"22",116489495,"143",1,0,11.857142857,26.6
"23",116489495,"143",1,0,12.571428571,26.9
"24",116489495,"143",1,0,13.428571428,28.2
"25",116489495,"143",1,0,14.857142857,28
"26",116489495,"143",1,0,15.428571428,27.589
"27",116489496,"143",0,0,4,15
"28",116489496,"143",0,0,5,17.5
"29",116489496,"143",0,0,6,18.2
"30",116489496,"143",0,0,7,19.2
"31",116489496,"143",0,0,7.428571428,19.2
"32",116489496,"143",0,0,9,20
"33",116489496,"143",0,0,9.714285714,20.7
"34",116489496,"143",0,0,10.428571428,21.3
"35",116489496,"143",0,0,11.857142857,21.1
"36",116489496,"143",0,0,12.571428571,22
"37",116489496,"143",0,0,13.428571428,22.6
"38",116489496,"143",0,0,14.857142857,21.9
"39",116489496,"143",0,0,15.571428571,22.7
"40",116489497,"143",0,0,4,15.8
"41",116489497,"143",0,0,5,17.2
"42",116489497,"143",0,0,6,17.9
"43",116489497,"143",0,0,7,18.9
"44",116489497,"143",0,0,7.428571428,19
"45",116489497,"143",0,0,9,19.8
"46",116489497,"143",0,0,9.714285714,20.7
"47",116489497,"143",0,0,10.428571428,21.2
"48",116489497,"143",0,0,11.857142857,21.3
"49",116489497,"143",0,0,12.571428571,21.8
"50",116489497,"143",0,0,13.571428571,22
"51",116489497,"143",0,0,14.857142857,21.5
"52",116489497,"143",0,0,15.571428571,22.576
"53",116489498,"143",1,0,4.142857142,16
"54",116489498,"143",1,0,5.142857142,19.3
"55",116489498,"143",1,0,6.142857142,22.3
"56",116489498,"143",1,0,7.142857142,24.9
"57",116489498,"143",1,0,7.571428571,25.3
"58",116489498,"143",1,0,9.142857142,27.2
"59",116489498,"143",1,0,9.857142857,27.7
"60",116489498,"143",1,0,12,29.3
"61",116489498,"143",1,0,12.714285714,29
"62",116489498,"143",1,0,13.571428571,29.5
"63",116489498,"143",1,0,15,29.8
"64",116489498,"143",1,0,16.142857142,30.575
"65",116489499,"143",1,0,4.142857142,18.7
"66",116489499,"143",1,0,5.142857142,21.4
"67",116489499,"143",1,0,6.142857142,23.6
"68",116489499,"143",1,0,7.142857142,25.4
"69",116489499,"143",1,0,7.571428571,25.8
"70",116489499,"143",1,0,9.142857142,27.6
"71",116489499,"143",1,0,9.857142857,28.3
"72",116489499,"143",1,0,12,28.7
"73",116489499,"143",1,0,12.714285714,28.6
"74",116489499,"143",1,0,13.857142857,29.1
"75",116489499,"143",1,0,15,29.2
"76",116489500,"143",0,0,4.142857142,13.6
"77",116489500,"143",0,0,5.142857142,13
"78",116489500,"143",0,0,6.142857142,13.6
"79",116489500,"143",0,0,7.142857142,15.9
"80",116489500,"143",0,0,7.571428571,15.5
